user_id,name,email_address,username,date_of_birth,gender,location,membership_start_date,membership_end_date,subscription_plan,payment_information,renewal_status,usage_frequency,purchase_history,favorite_genres,devices_used,engagement_metrics,feedbackratings,customer_support_interactions
13,Kevin Mayo,hochoa@example.net,hochoa,11/18/1981,Female,Michaeltown,1/10/2024,1/9/2025,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Tablet,Medium,4.7,0
14,Gregory Thomas,egriffin@example.com,egriffin,8/17/1989,Female,Harrisport,1/7/2024,1/6/2025,Annual,Amex,Auto-renew,Frequent,Books,Horror,Tablet,Medium,3.8,0
15,Melanie Burns,meyerstacy@example.net,meyerstacy,4/7/2003,Male,East Janetfurt,2/23/2024,2/22/2025,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.9,10
16,Brittany Crane,jasonbowers@example.org,jasonbowers,3/19/1993,Female,Port Jeremyfurt,1/3/2024,1/2/2025,Annual,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,5,0
17,Robert Gonzalez,cday@example.com,cday,5/2/1952,Female,Quinnberg,3/25/2024,3/25/2025,Annual,Visa,Auto-renew,Regular,Clothing,Romance,Smartphone,Low,3.3,3
18,Mindy Baxter,phumphrey@example.net,phumphrey,11/16/1978,Female,New Brandon,1/23/2024,1/22/2025,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.9,6
19,Michael Smith,paige55@example.org,paige55,8/30/1945,Female,South Michaelhaven,1/27/2024,1/26/2025,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Low,4.4,6
20,Joseph Owens,christopher25@example.org,christopher25,9/29/1979,Female,Port Derekton,3/15/2024,3/15/2025,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.6,2
21,Devin Wolf,jacobrobinson@example.com,jacobrobinson,7/5/1956,Male,New Matthewbury,3/15/2024,3/15/2025,Monthly,Visa,Manual,Regular,Electronics,Action,Tablet,Low,4.2,6
22,Heidi Brock,karen47@example.org,karen47,2/17/1967,Male,Lake Gloriaport,1/15/2024,1/14/2025,Monthly,Amex,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,3.9,2
23,Tracy Hardin,ronald82@example.net,ronald82,2/13/1996,Female,North Audrey,4/14/2024,4/14/2025,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,High,4.3,7
24,Maria White,castillokatie@example.com,castillokatie,6/19/1968,Male,West Raymond,3/26/2024,3/26/2025,Annual,Mastercard,Manual,Regular,Electronics,Drama,Smart TV,High,4.8,0
25,Eric Johnson,lgreer@example.org,lgreer,10/2/1994,Female,North Jacob,1/18/2024,1/17/2025,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,High,4.6,4
26,Kenneth Jones,glen97@example.net,glen97,9/22/1986,Female,Shafferland,2/12/2024,2/11/2025,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smart TV,High,3.8,7
27,Joel Cole,nyates@example.com,nyates,3/29/2005,Male,West Richardbury,2/19/2024,2/18/2025,Monthly,Visa,Manual,Occasional,Electronics,Horror,Smart TV,High,3.6,0
28,Brittany Noble,carol56@example.com,carol56,11/5/1976,Male,New John,1/26/2024,1/25/2025,Monthly,Visa,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Medium,3,9
29,Shelley Lopez,rodneyroberts@example.com,rodneyroberts,7/5/1967,Female,North Marymouth,1/7/2024,1/6/2025,Annual,Mastercard,Auto-renew,Regular,Clothing,Comedy,Smartphone,High,4.8,7
30,Stephen Perkins,julie52@example.com,julie52,9/16/1976,Female,West James,1/31/2024,1/30/2025,Monthly,Amex,Manual,Regular,Books,Action,Smart TV,Medium,4.8,9
31,Christopher Davis,urobinson@example.net,urobinson,9/19/1955,Male,Randallton,2/25/2024,2/24/2025,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Low,4.6,10
32,Rodney Jones,zfrost@example.net,zfrost,10/14/1967,Female,Port Kimberly,1/3/2024,1/2/2025,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,Low,4.2,9
33,Cheryl Johnson,louis25@example.com,louis25,3/28/1995,Male,Lisaton,1/22/2024,1/21/2025,Monthly,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,Low,4.3,4
34,Whitney Underwood,ujones@example.com,ujones,7/23/2002,Female,New Jenniferport,3/30/2024,3/30/2025,Annual,Mastercard,Auto-renew,Regular,Electronics,Horror,Smartphone,Low,4.5,10
35,Cheryl Bradley,jesseforbes@example.org,jesseforbes,5/11/1933,Male,New Jason,4/5/2024,4/5/2025,Annual,Mastercard,Manual,Occasional,Electronics,Action,Smartphone,Low,3.8,6
36,Carrie Smith,scottjohn@example.com,scottjohn,7/3/1991,Female,Clineshire,1/17/2024,1/16/2025,Monthly,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,4.8,10
37,Ryan Nunez,silvamichael@example.org,silvamichael,10/26/1944,Female,Jacquelinefurt,2/16/2024,2/15/2025,Monthly,Visa,Auto-renew,Frequent,Books,Horror,Smart TV,Medium,4.1,6
38,John Wood,maxwellanthony@example.net,maxwellanthony,7/23/1975,Female,North Jerry,1/23/2024,1/22/2025,Annual,Amex,Manual,Frequent,Clothing,Romance,Tablet,Medium,4.5,7
39,Rachel Holmes,maryjones@example.com,maryjones,7/6/1955,Female,Port Benjaminfort,3/25/2024,3/25/2025,Monthly,Visa,Auto-renew,Occasional,Electronics,Documentary,Tablet,High,3.2,8
40,Terry Powell,reyesjennifer@example.com,reyesjennifer,3/19/1981,Female,Port Danielle,2/4/2024,2/3/2025,Annual,Visa,Auto-renew,Occasional,Clothing,Documentary,Tablet,Low,4.2,5
41,Mark Hernandez,william81@example.com,william81,3/7/1975,Male,Port Jillianbury,3/18/2024,3/18/2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Medium,4.6,8
42,Angela Hall,laura84@example.org,laura84,6/14/1962,Female,Sherrybury,3/21/2024,3/21/2025,Monthly,Amex,Auto-renew,Occasional,Electronics,Comedy,Tablet,High,4.4,2
43,Laura Griffith,michelle48@example.net,michelle48,1/9/2001,Female,Port Charleschester,3/19/2024,3/19/2025,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,Medium,3.6,9
44,Anita Calhoun MD,ashley86@example.com,ashley86,8/27/1945,Male,New Brandy,3/14/2024,3/14/2025,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Medium,4.8,6
45,Shannon Clark,traci17@example.net,traci17,8/20/1943,Male,East Aaronburgh,3/14/2024,3/14/2025,Monthly,Amex,Manual,Frequent,Books,Horror,Smartphone,Low,5,6
46,Geoffrey Garcia,benjamin76@example.org,benjamin76,10/31/1993,Male,Jamesview,2/3/2024,2/2/2025,Annual,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Medium,3.9,5
47,Jeffery Maxwell,debra51@example.org,debra51,4/13/1953,Female,Davisfort,2/21/2024,2/20/2025,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,Low,3.6,7
48,Robert Lloyd,bradleypatrick@example.org,bradleypatrick,3/15/1985,Male,West Tanya,3/9/2024,3/9/2025,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Smartphone,Low,4.3,2
49,Melissa Wells,luis09@example.net,luis09,7/27/1950,Female,South Kylestad,3/9/2024,3/9/2025,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Horror,Smart TV,Low,3.1,8
50,Antonio Jackson,jrandall@example.org,jrandall,7/23/1965,Female,East Marcusberg,3/24/2024,3/24/2025,Annual,Visa,Manual,Occasional,Books,Sci-Fi,Tablet,High,4.5,9
51,John Smith,dhuffman@example.net,dhuffman,12/21/1990,Male,New Nicoleport,1/28/2024,1/27/2025,Monthly,Visa,Manual,Occasional,Electronics,Drama,Smart TV,High,3.9,8
52,Jeremy Lyons,richardsmicheal@example.com,richardsmicheal,11/5/1976,Male,North Stephen,2/2/2024,2/1/2025,Annual,Amex,Manual,Frequent,Clothing,Horror,Smartphone,High,3.9,0
53,Cathy Harrington,kellygibson@example.org,kellygibson,3/21/1942,Male,Lake Wendyland,4/14/2024,4/14/2025,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Smartphone,Low,4.9,8
54,Lisa Bauer,allison13@example.org,allison13,10/26/1964,Male,Michaelfort,1/28/2024,1/27/2025,Annual,Amex,Manual,Occasional,Electronics,Comedy,Smart TV,High,3.6,5
55,Margaret Cooper,fbradley@example.org,fbradley,2/19/1964,Female,Lake Samantha,3/13/2024,3/13/2025,Annual,Visa,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.9,3
56,Robert Browning,lorettashelton@example.net,lorettashelton,11/9/1973,Female,East Charles,2/3/2024,2/2/2025,Annual,Mastercard,Auto-renew,Regular,Electronics,Sci-Fi,Smartphone,High,3.6,6
57,Amanda Williams DVM,reginald05@example.org,reginald05,3/27/1953,Female,Bowmanland,1/2/2024,1/1/2025,Monthly,Visa,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Medium,3,2
58,William Clark,michael86@example.com,michael86,5/19/1961,Male,New Thomasville,4/1/2024,4/1/2025,Monthly,Amex,Auto-renew,Occasional,Books,Drama,Tablet,Low,4.5,10
59,Julie Dean,hduffy@example.org,hduffy,3/9/2003,Female,Port Olivia,4/7/2024,4/7/2025,Monthly,Mastercard,Auto-renew,Frequent,Books,Comedy,Smart TV,High,3.5,10
60,Neil Allen,hamiltonkeith@example.org,hamiltonkeith,9/5/1968,Female,Port Lauramouth,4/11/2024,4/11/2025,Annual,Mastercard,Auto-renew,Occasional,Books,Action,Smartphone,Low,3.7,9
61,Nicole Hunter,wendy13@example.com,wendy13,9/24/1953,Female,Smithborough,2/15/2024,2/14/2025,Monthly,Amex,Auto-renew,Occasional,Books,Comedy,Smart TV,Medium,3.9,4
62,Susan Hurst,jessicaespinoza@example.com,jessicaespinoza,10/15/1991,Female,Phillipsfurt,3/6/2024,3/6/2025,Annual,Visa,Manual,Occasional,Clothing,Romance,Smart TV,High,4.6,10
63,Megan Bates,douglas02@example.net,douglas02,8/17/1981,Female,Harrisshire,1/9/2024,1/8/2025,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,3
64,Kristen Rowe,bcollins@example.org,bcollins,6/10/1974,Male,South Williammouth,3/9/2024,3/9/2025,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Low,3.6,4
65,Jessica Flores,aguilarjohn@example.net,aguilarjohn,6/30/1948,Female,New Jonathan,1/17/2024,1/16/2025,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Smartphone,Low,4.5,6
66,Elizabeth Taylor,desiree88@example.com,desiree88,7/13/1973,Female,Jennaburgh,3/29/2024,3/29/2025,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.6,10
67,Ronald Brooks MD,arodriguez@example.net,arodriguez,4/7/2004,Female,Jonathanburgh,2/1/2024,1/31/2025,Annual,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,High,3,9
68,Sonya Obrien,larry78@example.org,larry78,2/17/1946,Female,Jessicaborough,3/19/2024,3/19/2025,Annual,Visa,Manual,Frequent,Electronics,Sci-Fi,Smart TV,Low,3.4,0
69,Tracy Koch,timothy25@example.net,timothy25,8/3/1947,Female,Kristenton,4/9/2024,4/9/2025,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.7,9
70,Kendra Brooks DVM,obray@example.net,obray,1/29/1937,Male,Garzafort,1/21/2024,1/20/2025,Monthly,Amex,Manual,Regular,Clothing,Action,Smartphone,Low,3.2,2
71,Janice Oliver,bethany83@example.net,bethany83,12/2/1988,Male,South Leslie,2/27/2024,2/26/2025,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,Low,4.1,5
72,Jennifer Shields,aanderson@example.org,aanderson,10/7/2004,Male,Williamport,3/3/2024,3/3/2025,Annual,Mastercard,Auto-renew,Regular,Electronics,Drama,Smartphone,High,3.1,7
73,Diana Dillon,diane28@example.com,diane28,4/21/1981,Male,South Beverlyton,1/30/2024,1/29/2025,Monthly,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,Medium,3.5,4
74,David Mata,cheyennewilson@example.net,cheyennewilson,8/12/1967,Male,Lake Rebecca,4/8/2024,4/8/2025,Annual,Amex,Manual,Frequent,Electronics,Drama,Tablet,Low,4.8,9
75,Megan Vaughan,walkersusan@example.net,walkersusan,2/23/1938,Female,Tinaberg,2/3/2024,2/2/2025,Annual,Visa,Manual,Frequent,Books,Horror,Tablet,Medium,3.3,0
76,Kelsey Diaz,jamesstevens@example.com,jamesstevens,6/29/1992,Female,Wongview,2/7/2024,2/6/2025,Annual,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Smart TV,Low,4.4,5
77,Jimmy Parker,shannon08@example.org,shannon08,5/15/1967,Female,Ramseymouth,2/18/2024,2/17/2025,Monthly,Mastercard,Manual,Regular,Books,Documentary,Smart TV,Medium,4.9,10
78,Perry Fry,lucas69@example.com,lucas69,12/10/1993,Female,Port Jasonville,3/10/2024,3/10/2025,Monthly,Visa,Manual,Regular,Clothing,Drama,Smartphone,Low,3.8,10
79,Evelyn Williams,john77@example.org,john77,8/3/1942,Male,Port Nicholas,3/18/2024,3/18/2025,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Tablet,Low,4.1,10
80,Julie Sanchez,bakerzachary@example.net,bakerzachary,12/11/1994,Female,Michaelberg,1/29/2024,1/28/2025,Annual,Visa,Manual,Regular,Electronics,Comedy,Smartphone,Low,3.4,6
81,Joseph Davis,greenelisa@example.com,greenelisa,10/12/1933,Male,Martinezfort,1/7/2024,1/6/2025,Monthly,Mastercard,Manual,Frequent,Clothing,Action,Smart TV,Low,3.3,3
82,Monique Rodriguez,rrhodes@example.com,rrhodes,5/3/1940,Male,West Connorport,3/20/2024,3/20/2025,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.6,9
83,Thomas Davis,brendasmith@example.com,brendasmith,12/1/1938,Female,Carsonhaven,2/29/2024,2/28/2025,Annual,Visa,Auto-renew,Regular,Electronics,Romance,Smartphone,High,3.1,5
84,Christopher Dickerson,wgregory@example.com,wgregory,5/5/1992,Female,Troytown,1/15/2024,1/14/2025,Monthly,Amex,Auto-renew,Occasional,Books,Action,Smart TV,High,3.2,4
85,Keith Baker,ujones@example.com,ujones,7/11/1972,Female,Langton,2/3/2024,2/2/2025,Annual,Amex,Manual,Occasional,Clothing,Horror,Smartphone,Medium,3,1
86,Ashley Cortez,lisa59@example.net,lisa59,6/13/1948,Female,Charlesfurt,2/23/2024,2/22/2025,Annual,Visa,Manual,Frequent,Books,Action,Smart TV,Low,3.9,3
87,Tammy Ward,shannon33@example.com,shannon33,3/16/1974,Female,Lake Stephanieside,1/28/2024,1/27/2025,Annual,Mastercard,Auto-renew,Frequent,Books,Horror,Smart TV,Low,4.8,4
88,Mary Fernandez,richardsjimmy@example.com,richardsjimmy,4/27/1990,Male,Melissamouth,2/10/2024,2/9/2025,Monthly,Amex,Manual,Regular,Books,Romance,Smart TV,Low,4.4,2
89,Gilbert Brown,ashleytate@example.net,ashleytate,3/24/1984,Male,Amyborough,2/27/2024,2/26/2025,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smart TV,Low,4,2
90,Vanessa Lutz,harriscameron@example.org,harriscameron,11/13/1951,Female,North Michelleburgh,2/11/2024,2/10/2025,Monthly,Mastercard,Manual,Regular,Electronics,Action,Tablet,Medium,4.7,3
91,Jenna Pham,marybeltran@example.org,marybeltran,8/15/1937,Male,Harryland,1/13/2024,1/12/2025,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,Tablet,High,3.4,9
92,Alicia Williams,xpierce@example.org,xpierce,6/20/1991,Male,Lindseyland,2/22/2024,2/21/2025,Monthly,Amex,Manual,Frequent,Books,Comedy,Tablet,Medium,4.2,2
93,Laura Saunders,sara71@example.net,sara71,2/21/1945,Male,Kevinchester,2/13/2024,2/12/2025,Annual,Mastercard,Manual,Occasional,Books,Drama,Tablet,Medium,3.9,3
94,Connor Morris,umiller@example.org,umiller,3/4/1981,Female,North Melissaville,2/8/2024,2/7/2025,Annual,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,High,3.9,4
95,Shannon Farmer,coffeyparker@example.org,coffeyparker,12/15/1958,Female,Justinchester,2/3/2024,2/2/2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.6,6
96,Mackenzie Harris,andersonemily@example.net,andersonemily,11/6/1963,Female,Lake Barryland,3/1/2024,3/1/2025,Annual,Mastercard,Auto-renew,Regular,Clothing,Action,Smartphone,Medium,3.2,9
97,Stephanie Potter,heather10@example.org,heather10,5/5/1958,Female,New Teresaburgh,3/25/2024,3/25/2025,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.7,3
98,Mitchell Potter,fsanchez@example.net,fsanchez,8/27/1979,Male,South Katieburgh,1/27/2024,1/26/2025,Annual,Visa,Manual,Regular,Books,Documentary,Tablet,High,4.7,4
99,Jonathan Rodriguez,nichole85@example.net,nichole85,12/20/1967,Male,East Shannonhaven,2/29/2024,2/28/2025,Monthly,Visa,Auto-renew,Occasional,Clothing,Action,Smart TV,Medium,4.7,7
100,Jennifer Davis,zunigashelly@example.org,zunigashelly,1/15/1950,Female,West Nathanielton,2/14/2024,2/13/2025,Annual,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,Low,4.5,5
101,Darlene Gutierrez,perkinsmary@example.org,perkinsmary,9/20/1956,Male,North Kristenbury,1/19/2024,1/18/2025,Monthly,Amex,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Low,4.7,1
102,Paula Perez,trevorwelch@example.net,trevorwelch,3/12/2003,Female,Dicksonmouth,4/12/2024,4/12/2025,Annual,Amex,Manual,Regular,Books,Sci-Fi,Tablet,Low,3.5,3
103,Jaime Edwards,aguirrejoshua@example.com,aguirrejoshua,11/27/1990,Male,Bennettmouth,4/8/2024,4/8/2025,Annual,Amex,Manual,Occasional,Electronics,Horror,Tablet,Low,3,2
104,Sherry Salinas,roachmegan@example.org,roachmegan,3/27/1998,Male,New Markview,4/4/2024,4/4/2025,Annual,Amex,Manual,Occasional,Clothing,Action,Smart TV,High,3.1,8
105,Paul Harris,ashley27@example.com,ashley27,5/9/1958,Male,West Robinborough,1/7/2024,1/6/2025,Monthly,Amex,Manual,Frequent,Books,Drama,Smart TV,Low,3.3,0
106,James Williams,rlove@example.org,rlove,10/14/1973,Male,West Robert,2/13/2024,2/12/2025,Annual,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smartphone,High,3.4,10
107,Alan Oneal,mbarker@example.net,mbarker,2/23/1949,Female,South Amy,2/14/2024,2/13/2025,Annual,Mastercard,Manual,Frequent,Clothing,Documentary,Tablet,Low,3.3,7
108,Grant Jensen,tyler29@example.com,tyler29,7/10/1944,Female,East Mark,4/11/2024,4/11/2025,Monthly,Amex,Manual,Regular,Clothing,Action,Tablet,Medium,3.2,7
109,Traci Arellano,uwolfe@example.org,uwolfe,2/15/1974,Male,Leeshire,1/24/2024,1/23/2025,Annual,Visa,Auto-renew,Occasional,Clothing,Horror,Tablet,Medium,3.2,2
110,Richard Ramsey,akemp@example.org,akemp,1/12/1982,Male,West Joan,1/15/2024,1/14/2025,Monthly,Amex,Manual,Occasional,Clothing,Sci-Fi,Tablet,Medium,4.9,0
111,Maria Lawrence,foxshelia@example.org,foxshelia,10/24/1953,Male,Johnton,2/27/2024,2/26/2025,Annual,Amex,Manual,Regular,Electronics,Drama,Smartphone,High,3.4,7
112,Regina Ramsey,susan84@example.com,susan84,5/29/1982,Female,Clarkville,2/17/2024,2/16/2025,Annual,Visa,Manual,Frequent,Clothing,Horror,Tablet,Medium,4.1,2
113,Lisa Reese,nataliereynolds@example.org,nataliereynolds,1/13/1989,Male,Collinsmouth,1/22/2024,1/21/2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smart TV,Medium,4.9,3
114,Bruce Pennington,angela32@example.com,angela32,12/1/1967,Male,South Sharonhaven,2/6/2024,2/5/2025,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,3.4,9
115,Jessica Barker,henryjennifer@example.org,henryjennifer,8/3/1981,Female,New Robert,4/12/2024,4/12/2025,Monthly,Visa,Manual,Occasional,Clothing,Horror,Smartphone,Medium,4.4,4
116,Alexis Vasquez,griffinbarbara@example.com,griffinbarbara,7/20/1980,Female,Wellsstad,4/7/2024,4/7/2025,Monthly,Mastercard,Auto-renew,Regular,Clothing,Action,Tablet,Low,3.8,3
117,Rebecca Lucero,martindakota@example.com,martindakota,2/15/1979,Female,Sullivantown,3/29/2024,3/29/2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.5,6
118,Mary Phillips,gregorymills@example.org,gregorymills,2/8/1945,Female,Hortonview,1/31/2024,1/30/2025,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.6,0
119,Dustin James,tiffany46@example.org,tiffany46,10/13/1937,Female,Johnsonmouth,1/14/2024,1/13/2025,Annual,Mastercard,Auto-renew,Regular,Books,Comedy,Smartphone,Medium,4.5,7
120,Robert Williams,tstephens@example.com,tstephens,9/22/1990,Female,North Margaret,1/7/2024,1/6/2025,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smart TV,High,4.1,3
121,Lisa Washington,dbailey@example.net,dbailey,11/3/1991,Male,East Charlotte,3/2/2024,3/2/2025,Annual,Visa,Manual,Frequent,Books,Drama,Smartphone,High,4.2,2
122,Brian French,stephenwilliams@example.net,stephenwilliams,6/19/1968,Male,Alisonfort,3/15/2024,3/15/2025,Monthly,Visa,Manual,Occasional,Electronics,Romance,Smartphone,Low,3.3,7
123,Elizabeth Flores,zstewart@example.net,zstewart,3/11/1936,Female,Brandifurt,1/12/2024,1/11/2025,Annual,Amex,Auto-renew,Regular,Books,Drama,Smart TV,High,3.2,2
124,Melissa Crawford,kelleybenjamin@example.org,kelleybenjamin,5/19/1947,Male,Garciaview,1/2/2024,1/1/2025,Annual,Amex,Auto-renew,Regular,Electronics,Sci-Fi,Tablet,Low,4.7,8
125,Antonio Juarez,christopherjones@example.org,christopherjones,6/24/1990,Male,Byrdside,1/25/2024,1/24/2025,Annual,Visa,Manual,Frequent,Electronics,Drama,Tablet,Medium,4.6,2
126,Robert Wilson DDS,tiffany69@example.net,tiffany69,5/9/1985,Male,New Cherylhaven,4/5/2024,4/5/2025,Annual,Visa,Manual,Regular,Electronics,Horror,Tablet,Low,4.9,7
127,Christopher Clay,stanleynathan@example.org,stanleynathan,7/10/2005,Female,East Christophertown,3/26/2024,3/26/2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,Smart TV,Low,3.2,10
128,Ashley Jenkins,apope@example.com,apope,6/19/1985,Male,Lake Jacobport,4/9/2024,4/9/2025,Monthly,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.4,9
129,Charles Stafford,scott67@example.net,scott67,10/5/1991,Male,Michaelmouth,4/14/2024,4/14/2025,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Tablet,High,4.6,6
130,Jordan Jackson,ubrown@example.org,ubrown,9/28/1953,Female,Lake Amystad,1/5/2024,1/4/2025,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Tablet,Medium,4.4,3
131,Christine Wright,gmoore@example.com,gmoore,2/4/1972,Male,Lunahaven,1/20/2024,1/19/2025,Monthly,Mastercard,Manual,Occasional,Clothing,Comedy,Smart TV,High,3.1,10
132,Penny Jones,kgreen@example.com,kgreen,8/15/1969,Female,Port Deanland,1/22/2024,1/21/2025,Annual,Amex,Manual,Occasional,Electronics,Comedy,Tablet,Medium,3.4,1
133,Thomas Simon,kelliolson@example.org,kelliolson,8/17/1947,Male,East Lawrenceburgh,3/21/2024,3/21/2025,Monthly,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,Medium,4.9,3
134,Jamie Mitchell,gamblejulie@example.net,gamblejulie,2/23/1986,Female,Nicholashaven,1/5/2024,1/4/2025,Monthly,Visa,Auto-renew,Frequent,Electronics,Horror,Smart TV,Medium,4.5,6
135,Lauren Harris,tbriggs@example.org,tbriggs,6/18/2004,Male,Nicholasburgh,1/9/2024,1/8/2025,Monthly,Mastercard,Auto-renew,Frequent,Books,Documentary,Smart TV,Medium,4.3,7
136,Laura Martin,colelong@example.com,colelong,1/1/1964,Female,Adamfort,4/8/2024,4/8/2025,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Smart TV,High,3.5,2
137,Mark Snyder,deanwiley@example.org,deanwiley,3/8/1954,Male,Brianview,4/11/2024,4/11/2025,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smart TV,Low,3.5,4
138,Jesus Brown,zlee@example.net,zlee,12/3/1958,Female,South Dave,3/24/2024,3/24/2025,Annual,Amex,Manual,Occasional,Electronics,Documentary,Tablet,Medium,3,4
